ID,Question,Option1,Option2,Option3,Option4,Answer,Explanation
14,"原子が電子を受け取ることによって形成される、負の電荷をもつイオンを何というか。",陽イオン,陰イオン,単原子イオン,マグネシウムイオン,2,"陰イオンは、原子が電子を受け取る（電子がマイナスなので）ことで生じる、負(マイナス)の電荷をもつイオンです。例: Cl-"
15,"ナトリウム原子(Na)がイオン(Na+)になると、どの貴ガスと同じ安定な電子配置になるか。",He (ヘリウム),Ne (ネオン),Ar (アルゴン),Kr (クリプトン),2,"ナトリウム(Na)は原子番号11で、電子を1個失ってNa+となり、原子番号10のネオン(Ne)と同じ安定な電子配置になります。"
16,"SO₄²⁻ (硫酸イオン)のように、複数の原子が結びついてできたイオンを何というか。",単原子イオン,陽イオン,陰イオン,多原子イオン,4,"単原子イオン(例: Mg²⁺, Cl⁻)は1個の原子からなるイオンですが、多原子イオンは複数の原子が結合してできたイオンです。"
17,"原子から最外殻電子を1個取り去り、1価の陽イオンにするのに必要なエネルギーを何というか。",電子親和力,イオン化エネルギー,価電子,電気陰性度,2,"イオン化エネルギーは、原子を陽イオンにするために必要なエネルギーです。"
18,"イオン化エネルギーが「小さい」原子は、どのような性質を持つか。",陽イオンになりやすい,陰イオンになりやすい,貴ガスである,イオンになりにくい,1,"イオン化エネルギーは「電子を引きはがすのに必要なエネルギー」なので、この値が小さいほど、簡単に電子を失い、陽イオンになりやすい（陽性が強い）ことを意味します。"
19,"周期表の同じ族（縦の列）において、イオン化エネルギーは原子番号が大きくなる（下に行く）ほど、どうなる傾向があるか。",大きくなる,小さくなる,変わらない,貴ガスのみ大きくなる,2,"同じ族では、原子番号が大きくなるほど（周期表の下に行くほど）、電子殻が外側になり原子核との引力が弱まるため、電子を取り去るのに必要なエネルギーは小さくなります。"
20,"周期表の同じ周期（横の行）において、イオン化エネルギーは原子番号が大きくなる（右に行く）ほど、どうなる傾向があるか。",大きくなる,小さくなる,変わらない,遷移元素は変わらない,1,"同じ周期では、原子番号が大きくなるほど（周期表の右に行くほど）、原子核の正電荷が強くなり電子を強く引き付けるため、電子を取り去るのに必要なエネルギーは大きくなる傾向があります。"
21,"次の元素グループのうち、イオン化エネルギーが最も「小さい」グループはどれか。",1族 (アルカリ金属),2族 (アルカリ土類金属),17族 (ハロゲン),18族 (貴ガス),1,"1族のアルカリ金属は、電子を1個失うと安定な貴ガスと同じ電子配置になれるため、イオン化エネルギーが非常に小さく、陽イオンになりやすいです。"
22,"原子が電子を1個受け取り、1価の陰イオンになるときに「放出」されるエネルギーを何というか。",イオン化エネルギー,電子親和力,電気陰性度,イオン結合,2,"電子親和力は、原子が電子を1個受け取って陰イオンになる際に放出されるエネルギーです。この値が大きいほど陰イオンになりやすい（陰性が強い）です。"
23,"陽イオンと陰イオンが、静電気的な引力（クーロン力）によって結びつく結合を何というか。",イオン結合,共有結合,金属結合,水素結合,1,"陽イオン（＋）と陰イオン（－）が静電気的な力で引き合ってできる結合をイオン結合と呼びます。"
24,"Ca(OH)₂ のように、イオンの種類とその数の割合を最も簡単な整数比で示し、全体として電荷がつり合うようにした式を何というか。",分子式,組成式,化学反応式,イオン式,2,"組成式は、イオン結晶などを構成するイオンの割合を示した式です。陽イオンの総電荷と陰イオンの総電荷が釣り合っています。"
25,"イオン結晶に関する記述として「誤っている」ものはどれか。",融点が高く硬い,常温では固体である,固体は電気を通さない,水溶液にしても電気を通さない,4,"イオン結晶は、固体では電気を通しませんが、水溶液にしたり融解して液体にしたりすると、イオンが動けるようになり電気を通します。"
26,"同じ族（同族元素）のイオン半径は、原子番号が大きくなる（周期表の下にいく）ほど、どうなる傾向があるか。",大きくなる,小さくなる,変わらない,貴ガスのみ小さくなる,1,"同じ族では、原子番号が大きくなるほど、最外殻がより外側になるため、イオン半径は大きくなります。"
27,"非金属元素の原子が結びついた粒子のことを何というか。H₂Oのように構成元素と原子の数で表す式を何というか。",イオン・組成式,分子・分子式,イオン・分子式,分子・組成式,2,"非金属元素の原子が結びついてできた粒子を「分子」と呼びます。分子を表す化学式を「分子式」といいます。"
28,"元素記号の周囲に最外殻電子を「・」（点）で表した式を何というか。",電子式,構造式,分子式,原子価,1,"最外殻電子を点（・）で表した式を「電子式」と呼びます。例: 酸素原子 O"
29,"2個の原子が互いに価電子（不対電子）を共有してできる結合を何というか。",イオン結合,水素結合,共有結合,金属結合,3,"原子同士が価電子（不対電子）を出し合って共有することでできる結合を「共有結合」といいます。"
30,"電子式において、原子間で共有されている電子対を「共有電子対」というのに対し、原子間で共有されていない電子対を何というか。",不対電子,価電子,非共有電子対,イオン対,3,"非共有電子対は、電子対にはなっているが、原子間の結合には使われていない電子対のことです。"
31,"分子中の原子の共有結合のようすを、線（価標）を用いて表した化学式を何というか。",電子式,構造式,組成式,原子価,2,"構造式は、原子間の共有結合を線（価標）で表した式です。線の数（原子価）は、その原子が持つ不対電子の数と一致します。"
32,"H₂O（水）の分子の形として正しいものはどれか。",直線形,折れ線形,三角錐形,正四面体形,2,"水分子(H₂O)は、酸素原子に2つの水素原子が非共有電子対の影響で折れ曲がって結合しているため、折れ線形となります。"
33,"NH₃（アンモニア）の分子の形として正しいものはどれか。",直線形,折れ線形,三角錐形,正四面体形,3,"アンモニア分子(NH₃)は、窒素原子に3つの水素原子が結合し、非共有電子対が1組あるため、三角錐形となります。"
34,"原子が共有電子対を引き寄せる強さの尺度を何というか。",電気陰性度,結合の極性,配位結合,高分子化合物,1,"電気陰性度は、原子が共有電子対をどれだけ強く引きつけるかを示す尺度です。周期表の右上にいくほど大きい傾向があります。"
35,"共有結合している2原子間に見られる電荷の偏り（かたより）を何というか。",電気陰性度,結合の極性,配位結合,錯イオン,2,"結合の極性は、電気陰性度の差によって生じる、共有電子対の偏り（かたより）のことです。"
36,"電子対が一方の原子だけから提供されてできる共有結合のことを、特に何と呼ぶか。",イオン結合,配位結合,共有結合,単量体,2,"配位結合は、非共有電子対をもつ原子が、その電子対を一方的に提供する形でできる共有結合です。例: NH₄⁺ (アンモニウムイオン)"
37,"単量体が多数結合してできた、原子が数千個からなる巨大な分子を何というか。",高分子化合物,錯イオン,重合体,配位結合,1,"高分子化合物は、単量体が重合することでできた巨大な分子です。"
38,"CO₂（二酸化炭素）や CH₄（メタン）のように、分子全体として極性がない分子を何というか。",極性分子,無極性分子,分子結晶,イオン,2,"無極性分子は、結合に極性があっても、分子の形（CO₂は直線形, CH₄は正四面体形）によって打ち消しあい、分子全体としては極性をもたない分子です。"
39,"H₂O（水）や NH₃（アンモニア）のように、分子全体として極性がある（電荷に偏りがある）分子を何というか。",極性分子,無極性分子,共有結合の結晶,イオン,1,"極性分子は、結合の極性や分子の形（H₂Oは折れ線形, NH₃は三角錐形）により、分子全体として電荷が偏っている分子です。"
40,"多数の分子が「分子間力」によって引き合い、規則正しく配列してできた結晶を何というか。ドライアイス(CO₂)がこれにあたる。",イオン結晶,金属結晶,共有結合の結晶,分子結晶,4,"分子結晶は、分子同士が弱い分子間力で集まった結晶です。そのため、融点が低く、昇華しやすいものが多いです。"
41,"ダイヤモンドや黒鉛、二酸化ケイ素(SiO₂)のように、多数の原子が「共有結合」のみでつながった結晶を何というか。",イオン結晶,金属結晶,共有結合の結晶,分子結晶,3,"共有結合の結晶は、原子がすべて共有結合で強固に結びついているため、非常に硬く、融点が非常に高いのが特徴です。"
42,"分子結晶（例: ヨウ素 I₂）の性質として「誤っている」ものはどれか。",融点が低いものが多い,昇華しやすいものがある,固体・液体ともに電気を通さないものが多い,非常に硬く、融点が非常に高い,4,"「非常に硬く、融点が非常に高い」のは、共有結合の結晶の特徴です。分子結晶は分子間力で結びついているため、融点が低く柔らかいものが多いです。"
43,"次のうち、「極性分子」に分類されるものはどれか。",H₂ (水素),CO₂ (二酸化炭素),HCl (塩化水素),CH₄ (メタン),3,"HClは、電気陰性度が異なるHとClが直線状に結合しているため、電荷に偏り（極性）が生じます。H₂, CO₂, CH₄は無極性分子です。"
44,"金属原子から放出された価電子が、原子間を自由に動き回ることで生じる、金属原子間の結合を何というか。",イオン結合,共有結合,金属結合,配位結合,3,"金属原子は価電子を放出しやすい性質があり、放出された電子（自由電子）が金属原子全体を繋ぎ止める結合を金属結合といいます。"
45,"金属が電気伝導性や熱伝導性を示すのは、主にどのような粒子が自由に動けるためか。",陽イオン,陰イオン,自由電子,原子核,3,"金属結晶中では自由電子が自由に動き回れるため、これが電気や熱を運ぶことで高い伝導性を示します。"
46,"金属を叩くと薄く広がる性質を「展性」というのに対し、引き延ばすと細い線になる性質を何というか。",延性,金属光沢,電気伝導性,熱伝導性,1,"金属がもつ、叩くと広がる性質を展性、引き延ばすと線になる性質を延性といいます。これらは自由電子が結合を保つため生じます。"
47,"次のうち、金属結晶の性質として「当てはまらない」ものはどれか。",金属光沢を示す,高い電気伝導性をもつ,展性や延性がある,融点が低く、昇華しやすい,4,"「融点が低く、昇華しやすい」のは、主に分子結晶の特徴です。金属結晶は一般的に融点が高いものが多いです。"
48,"次のうち、「混合物」に分類されるものはどれか。",酸素,水,海水,塩化ナトリウム,3,"混合物は2種類以上の物質を含みます。海水は水や塩化ナトリウムなどが混ざったものです。酸素、水、塩化ナトリウム(食塩)は純物質です。"
49,"液体とその液体に溶けていない固体を、ろ紙などを用いて分離する操作を何というか。",蒸留,ろ過,精製,分離,2,"ろ過は、ろ紙の目よりも大きい固体を、液体から分離する操作です。例: 泥水から砂や泥を分離する。"
50,"液体を含む混合物を加熱し、生じた蒸気を冷やして、再び液体として分離する操作を何というか。",蒸留,ろ過,昇華,精製,1,"蒸留は、物質の沸点の違いを利用して液体を分離する操作です。例: 海水から水蒸気を冷やして純粋な水を得る。"
51,"空気や石油のように、2種類以上の物質を含み、組成によって融点や沸点が変化する物質を何というか。",純物質,混合物,単体,化合物,2,"混合物は2種類以上の物質が混ざっており、一定の融点や沸点を持ちません。純物質は1種類の物質からなり、一定の融点・沸点を示します。"
52,"混合物から純物質を取り出す操作を「分離」というのに対し、不純物を取り除いて、より純度の高い物質を得る操作を何というか。",蒸留,ろ過,精製,混合,3,"精製は、分離した物質からさらに不純物を取り除き、より純度の高い物質を得る操作です。"
53,"蒸留の実験装置において、温度計の下端はどの位置に設置するのが正しいか。",フラスコの液体の中,フラスコの枝の付け根,リービッヒ冷却器の中央,三角フラスコの中,2,"蒸留では、目的の物質の蒸気の温度を正確に測るため、温度計の下端をフラスコの枝の付け根（蒸気が冷却器へ向かう入り口）に合わせます。"
54,"蒸留を行う際、枝つきフラスコに試料とともに入れる「沸騰石」の主な目的は何か。",試料を均一に混ぜるため,突発的な沸騰を防ぐため,試料の温度を上げるため,不純物を取り除くため,2,"沸騰石は、液体が急激に沸騰する「突沸」を防ぎ、穏やかに沸騰させるために入れます。"
55,"蒸留装置のリービッヒ冷却器に冷却水を流す向きとして、正しいものはどれか。",上側から下側へ流す,下側から上側へ流す,どちらからでも良い,中央から両端へ流す,2,"冷却効率を高めるため、冷却水は必ず下側(出口側)から入れ、上側(フラスコ側)へ流して、冷却器の内部を水で満たすようにします。"
56,"蒸留の実験装置に関する留意点として、「誤っている」ものはどれか。",試料の液量はフラスコの1/2以下にする,三角フラスコは密閉しない,温度計は蒸気の温度を測る位置に合わせる,冷却水は上から下へ流す,4,"冷却水は、冷却効率を最大にするため「下から上へ」流すのが正解です。「上から下へ」流すと、冷却器の内部が水で満たされないため冷却効率が悪くなります。"
57,"2種類以上の液体の混合物を、沸点の違いを利用して各成分に分離する操作を何というか。",分留,再結晶,昇華法,抽出,1,"分留は、沸点の異なる液体混合物（例: 石油）を、蒸留によって各成分に分離する操作です。"
58,"固体物質の溶解度が温度によって異なることを利用し、少量の不純物を除く操作を何というか。",分留,再結晶,昇華法,抽出,2,"再結晶は、溶解度の差を利用して、固体を精製する操作です。例: 硝酸カリウムと硫酸銅(II)の混合物から純粋な硝酸カリウムを得る。"
59,"ヨウ素と塩化ナトリウムの混合物を加熱し、ヨウ素（昇華しやすい物質）を分離する方法を何というか。",分留,再結晶,昇華法,抽出,3,"昇華法は、昇華しやすい固体（例: ヨウ素, ドライアイス）を、昇華しない物質から分離する方法です。"
60,"ヨウ素水溶液にヘキサンを加えて振り混ぜ、水に溶けにくいヨウ素をヘキサン層に移動させて分離する操作を何というか。",分留,再結晶,昇華法,抽出,4,"抽出は、目的の物質を溶解しやすい溶媒（この例ではヘキサン）に移し出して分離する操作です。分液ろうとなどが使われます。"
61,"ろ紙などの吸着剤と、溶媒の移動速度の違いを利用して、混合物を分離する操作を何というか。",ペーパークロマトグラフィー,抽出,再結晶,分留,1,"ペーパークロマトグラフィーは、物質の「ろ紙への吸着のしやすさ」や「溶媒への溶けやすさ」の違いを利用して色素などを分離する方法です。"
62,"物質を構成している基本的な成分のことで、約120種類が知られているものを何というか。",単体,化合物,元素,同素体,3,"元素は物質を構成する基本的な成分です。単体や化合物は元素からできている純物質です。"
63,"H₂ (水素)や O₂ (酸素)のように、ただ1種類の元素からできている純物質を何というか。",単体,化合物,混合物,同素体,1,"単体は1種類の元素からなる純物質です。化合物は2種類以上の元素からなります。"
64,"H₂O (水)や NaCl (塩化ナトリウム)のように、2種類以上の元素からできている純物質を何というか。",単体,化合物,混合物,同素体,2,"化合物は2種類以上の元素からなる純物質です。電気分解などで元の元素に分離できます。"
65,"同じ元素の単体どうしで、性質が異なる物質（例: 酸素 O₂ と オゾン O₃）の関係を何というか。",同位体,同素体,化合物,単体,2,"同素体は、同じ元素からなる単体で、構造や性質が異なる物質です。炭素(C)における黒鉛とダイヤモンドも例です。"
66,"次の物質を「単体」と「化合物」に分類したとき、仲間外れはどれか。",H₂O (水),CO₂ (二酸化炭素),O₂ (酸素),NaCl (塩化ナトリウム),3,"O₂ (酸素)は1種類の元素(O)からなる単体です。H₂O, CO₂, NaClは2種類以上の元素からなる化合物です。"
67,"アルファベット1文字または2文字で元素を表す記号を何というか。",元素記号,化学式,分子式,組成式,1,"元素記号は、元素を表す世界共通の記号です。例: F (フッ素), Fe (鉄)"
68,"物質を炎で熱したとき、元素によって炎が特有の色を示す現象を何というか。",炎色反応,沈殿,ろ過,蒸留,1,"炎色反応は、特定の元素が炎の中で特有の色を発する現象です。元素の検出に用いられます。"
69,"ナトリウム(Na)の炎色反応の色として、正しいものはどれか。",赤紫,黄緑,青緑,黄,4,"ナトリウム(Na)の炎色反応は黄色です。Li(赤)、K(紫)、Cu(青緑)、Ba(黄緑)なども覚えましょう。"
70,"カリウム(K)の炎色反応の色として、正しいものはどれか。",赤,黄,赤紫,橙赤,3,"カリウム(K)の炎色反応は赤紫（または紫）です。"
71,"炎色反応の実験操作として「誤っている」ものはどれか。",試料は炎の内炎に入れる,白金線は濃塩酸で洗浄する,洗浄後、炎色反応が出ないことを確認する,白金線につけた試料を炎に入れる,1,"炎色反応は、高温の「外炎」で反応させます。内炎は温度が低く、不完全燃焼しているため適しません。"
72,"塩化物イオン(Cl⁻)が含まれる水溶液に「硝酸銀(AgNO₃)水溶液」を加えたときに生じる変化はどれか。",白色の沈殿が生じる,黄色の沈殿が生じる,気体が発生する,青緑色になる,1,"塩化物イオン(Cl⁻)は、銀イオン(Ag⁺)と反応して、水に溶けない白色の沈殿（塩化銀 AgCl）を生じます。"
73,"ある気体を「石灰水」に通じると白く濁った。この気体は何か。",水素 (H₂),酸素 (O₂),二酸化炭素 (CO₂),塩素 (Cl₂),3,"二酸化炭素(CO₂)は、石灰水(Ca(OH)₂)と反応して、水に溶けない白色の沈殿（炭酸カルシウム CaCO₃）を生じるため、白く濁ります。"
74,"物質を構成する粒子が、温度に応じて行う不規則な運動のことを何というか。",拡散,熱運動,状態変化,物理変化,2,"熱運動は、温度が高いほど激しくなる、粒子の不規則な運動です。"
75,"物質が熱運動によって自然に広がっていく現象を何というか。",拡散,熱運動,状態変化,化学変化,1,"拡散は、熱運動によって物質が自然に広がっていく現象です。例: コップの水にインクを落とす。"
76,"物質が示す「固体」「液体」「気体」という3つの状態を、まとめて何というか。",物質の三態,状態変化,物理変化,化学変化,1,"物質の三態は、固体・液体・気体の3つの状態を指します。"
77,"固体から液体への変化（融解）や、液体から気体への変化（蒸発）のように、温度や圧力の変化によって物質の三態間での変化を何というか。",状態変化,拡散,熱運動,化学変化,1,"状態変化は、物質そのものは変わらず、固体・液体・気体の間で状態が変わることです。"
78,"物質そのものは変化せず、状態だけが変わる変化（例: 状態変化）を何というか。",化学変化,物理変化,化学反応,拡散,2,"物理変化は、物質の種類は変わらず、状態や形が変わる変化です。対して、化学変化は、ある物質から別の物質が生じる変化です。"
79,"ある物質から別の物質が生じる変化のことを何というか。",化学変化,物理変化,状態変化,熱運動,1,"化学変化は、物質が分解したり、別の物質と結びついたりして、元の物質とは異なる新しい物質ができる変化です。"
80,"気体が液体になる変化を「凝縮」というのに対し、液体が固体になる変化を何というか。",融解,凝固,蒸発,昇華,2,"液体が冷やされて固体になる変化を凝固といいます。逆に固体が液体になるのは融解です。"
81,"原子の質量を表す「原子の相対質量」は、どの原子を基準に決められているか。",¹H (水素) を 1 とする,¹⁶O (酸素) を 16 とする,¹²C (炭素) を 12 とする,¹²C (炭素) を 1 とする,3,"原子の相対質量は、質量数12の炭素原子 ¹²C の質量を「12」と定めて、これを基準にしています。"
82,"原子の相対質量に関する記述として、「正しい」ものはどれか。",単位は g (グラム) である,単位はない,原子番号と必ず一致する,すべての原子で整数になる,2,"原子の相対質量は、基準となる原子との比（相対値）であるため、単位はありません。"
83,"原子の相対質量は、一般的にどの数値にほぼ近い値となるか。",原子番号,質量数,価電子の数,電子の数,2,"原子の相対質量は、陽子の数と中性子の数の合計である「質量数」にほぼ近い値となります。"
84,"¹H の相対質量が 1.0、¹⁶O の相対質量が 16.0 となるのは、何を基準にしているためか。",¹²C の質量を 12 としているため,¹H の質量を 1.0 としているため,¹⁶O の質量を 16.0 としているため,地球の質量を基準にしているため,1,"質量数12の炭素原子 ¹²C の質量を 12 と定めているため、¹H は約 1.0、¹⁶O は約 16.0 となります。"
85,"同位体の相対質量と、その存在比から求めた、原子の相対質量の平均値（単位なし）を何というか。",原子量,分子量,式量,質量数,1,"原子量は、自然界に存在する同位体の相対質量を、その存在比で加重平均した値です。¹²C=12が基準です。"
86,"分子式を構成する元素の原子量の総和（¹²C=12を基準）を何というか。",原子量,分子量,式量,アボガドロ定数,2,"分子量は、分子全体の相対質量を表し、構成元素の原子量の合計で求められます。例: H₂O = 1.0×2 + 16 = 18"
87,"原子量を H=1.0, C=12, O=16 とするとき、二酸化炭素(CO₂)の分子量はいくつか。",28,32,44,46,3,"CO₂の分子量は、Cの原子量 + Oの原子量×2 = 12 + (16 × 2) = 12 + 32 = 44 となります。"
88,"塩化ナトリウム(NaCl)のように、分子が存在しないイオン結晶などの物質の相対質量を示す値を何というか。",原子量,分子量,式量,同位体,3,"式量は、組成式やイオン式に含まれる原子量の総和です。NaClはイオン結晶であり、分子ではないため式量を使います。"
89,"原子量を Na=23, Cl=35.5 とするとき、塩化ナトリウム(NaCl)の式量はいくつか。",12.5,23,35.5,58.5,4,"NaClの式量は、Naの原子量 + Clの原子量 = 23 + 35.5 = 58.5 となります。"
90,"物質量 1 [mol] は、およそ何個の粒子の集団を表すか。","22.4 個","1.013 × 10⁵ 個","6.0 × 10²³ 個","12 個",3,"物質量 1 [mol] は、原子・分子・イオンなどの粒子が 6.0 × 10²³ 個集まったものです。この数をアボガドロ定数といいます。"
91,"物質 1 [mol] あたりの質量（単位: [g]）は、何の値と等しくなるか。","原子量・分子量・式量に [g] をつけた質量","標準状態での体積 22.4 [L]","アボガドロ定数 6.0 × 10²³","標準状態の圧力 1.013 × 10⁵ [Pa]",1,"1 [mol] あたりの質量（モル質量）は、その物質の原子量・分子量・式量に [g]（グラム）をつけた値と等しくなります。"
92,"標準状態 (0℃, 1.013 × 10⁵ [Pa]) において、気体 1 [mol] が占める体積はいくつか。","1.0 [L]","12 [L]","22.4 [L]","6.0 × 10²³ [L]",3,"気体の種類によらず、標準状態（0℃、1.013 × 10⁵ [Pa]）では、気体 1 [mol] は 22.4 [L] の体積を占めます。"
93,"気体の体積を考える際の「標準状態」とは、どのような温度と圧力か。","0℃, 1.013 × 10⁵ [Pa]","25℃, 1.013 × 10⁵ [Pa]","100℃, 1.013 × 10⁵ [Pa]","0℃, 22.4 [Pa]",1,"標準状態 (STP) は、温度 0℃、圧力 1.013 × 10⁵ [Pa] と定義されています。"
94,"酸素 (分子量 32) 1 [mol] の質量と、標準状態での体積の組合せとして正しいものはどれか。","16[g]・22.4[L]","32[g]・22.4[L]","32[g]・1[L]","6.0 × 10²³[g]・22.4[L]",2,"酸素 O₂ の分子量は32なので、1 [mol] の質量は 32 [g] です。また、標準状態の気体 1 [mol] の体積は 22.4 [L] です。"
95,"物質量 1 [mol] あたりの粒子の数 (6.0 × 10²³ [/mol]) を何というか。",アボガドロ数,アボガドロ定数,モル質量,モル体積,2,"アボガドロ定数は、1 [mol] あたりの粒子の数を表す定数で、6.0 × 10²³ [/mol] です。アボガドロ数は単に 6.0 × 10²³ という数を指します。"
96,"物質 1 [mol] あたりの質量を [g/mol] という単位で表したものを何というか。",原子量,分子量,モル質量,モル体積,3,"モル質量は、物質 1 [mol] あたりの質量で、単位は [g/mol] です。これは原子量・分子量・式量に [g] をつけた値と数値的に等しくなります。"
97,"「同温・同圧で同体積の気体中には、気体の種類によらず、同数の分子が含まれる。」という法則を何というか。",アボガドロの法則,ボイルの法則,シャルルの法則,質量保存の法則,1,"アボガドロの法則は、気体の体積と分子の数が比例することを示しています。"
98,"標準状態で 11.2 [L] の体積を占める気体は、何 [mol] に相当するか。","0.5 [mol]","1 [mol]","2 [mol]","22.4 [mol]",1,"物質量 [mol] = 標準状態の体積 [L] / (22.4 [L/mol]) で計算します。11.2 [L] / 22.4 [L/mol] = 0.5 [mol] となります。"
99,"水 (分子量 18) 36 [g] は、何 [mol] に相当するか。","0.5 [mol]","1 [mol]","2 [mol]","18 [mol]",3,"物質量 [mol] = 質量 [g] / モル質量 [g/mol] で計算します。水のモル質量は 18 [g/mol] なので、36 [g] / 18 [g/mol] = 2 [mol] となります。"
100,"溶液全体の質量に対する溶質の質量の割合を、百分率(%)で表した濃度を何というか。",モル濃度,"質量パーセント濃度[%]",モル質量,平均分子量,2,"質量パーセント濃度[%]＝ (溶質の質量[g] / 溶液の質量[g]) × 100 で求められます。"
101,"溶液 1 [L] あたりに含まれる溶質の物質量[mol]で表した濃度を何というか。","モル濃度[mol/L]","質量パーセント濃度[%]",モル質量,平均分子量,1,"モル濃度[mol/L]＝ 溶質の物質量[mol] / 溶液の体積[L] で求められます。"
102,"標準状態での気体の密度[g/L]に 22.4 [L/mol] を掛けることで求められる値は何か。",モル濃度,気体の分子量（モル質量）,平均分子量,質量パーセント濃度,2,"気体のモル質量[g/mol]＝ 密度[g/L]× 22.4 [L/mol] です。単位を除くと分子量と等しくなります。"
103,"一定の体積の溶液を正確に調製するために用いられる、首の部分に目盛りが1本だけついたガラス器具を何というか。",ビーカー,三角フラスコ,メスフラスコ,分液ろうと,3,"メスフラスコは、特定の体積（例: 1L）の溶液を正確に調製（メスアップ）するのに使われます。"
104,"空気は窒素(分子量28)が約80%, 酸素(分子量32)が約20%の混合気体である。空気の平均分子量は約いくつか。",28.0,28.8,30.0,32.0,2,"平均分子量 = (28 × 80/100) + (32 × 20/100) = 22.4 + 6.4 = 28.8 となります。"
105,"化学式を使って化学反応を表した式を何というか。",化学式,イオン反応式,化学反応式,組成式,3,"化学反応式は、反応物（矢印の左辺）と生成物（右辺）を化学式で表したものです。"
106,"化学反応式で、両辺の各原子の数が等しくなるようにつける化学式の前の数字を何というか。",係数,価数,質量数,原子番号,1,"係数は、化学反応式において原子の数を合わせるための数字です。係数は最も簡単な整数比にし、1は省略されます。"
107,"イオン反応式（例: Ag⁺ + Cl⁻ → AgCl）において、両辺で等しくしなければならないのは、各原子の数と「あと一つ」は何か。",総質量,総体積,電荷の総和,係数の和,3,"イオン反応式では、両辺の各原子の数だけでなく、電荷（＋や－）の総和も等しくなるようにします。"
108,"化学反応式を書くとき、反応の前後で変化しなかった物質はどのように扱うか。",係数を0にする,矢印の右辺に書く,矢印の左辺に書く,反応式の中に書かない,4,"反応に直接関係しなかったイオンなどは、化学反応式（特にイオン反応式）には書きません。"
109,"化学反応式の「係数」の比は、反応する物質の何の比と等しくなるか。","物質量[mol]の比","質量[g]の比","モル質量[g/mol]の比",濃度の比,1,"化学反応式の係数の比は、反応や生成する物質の「分子の数」の比、または「物質量[mol]」の比と等しくなります。"
